epoch 1, training...
batch No.1434, time cost : 5.344139099121094, loss is : 0.9874503966110575
batch No.1435, time cost : 5.398860692977905, loss is : 0.7724365191997853
batch No.1436, time cost : 5.357293367385864, loss is : 0.7162238700274295
batch No.1437, time cost : 5.360525846481323, loss is : 1.5992564406775667
batch No.1438, time cost : 5.37371826171875, loss is : 1.0362192632654672
batch No.1439, time cost : 5.352107524871826, loss is : 1.0806868728499506
batch No.1440, time cost : 5.385835886001587, loss is : 0.9047385608705395
batch No.1441, time cost : 5.356969833374023, loss is : 0.8554235614416681
batch No.1442, time cost : 5.361299514770508, loss is : 0.9672178735430617
batch No.1443, time cost : 5.357260704040527, loss is : 1.14634633873916
batch No.1444, time cost : 5.385126113891602, loss is : 0.7771218473176416
batch No.1445, time cost : 5.38428807258606, loss is : 0.8192932024854602
batch No.1446, time cost : 5.365564584732056, loss is : 0.9948922394230636
batch No.1447, time cost : 5.34763765335083, loss is : 0.9286889219858236
batch No.1448, time cost : 5.3316404819488525, loss is : 0.9180310632088177
batch No.1449, time cost : 5.362221956253052, loss is : 0.7028567890927114
batch No.1450, time cost : 5.31710147857666, loss is : 0.6563860679657345
batch No.1451, time cost : 5.395575046539307, loss is : 0.9932971696105379
batch No.1452, time cost : 5.365947246551514, loss is : 0.8348999329683457
batch No.1453, time cost : 5.348873615264893, loss is : 1.032907983378308
batch No.1454, time cost : 5.3314807415008545, loss is : 1.21621823382169
batch No.1455, time cost : 5.335533380508423, loss is : 0.7990049434621247
batch No.1456, time cost : 5.3838090896606445, loss is : 1.1320578247520265
batch No.1457, time cost : 5.359703302383423, loss is : 0.6457786652821897
batch No.1458, time cost : 5.377203702926636, loss is : 1.2599206669205758
batch No.1459, time cost : 5.354889631271362, loss is : 0.9560902241459762
batch No.1460, time cost : 5.357710599899292, loss is : 1.1393461983382742
batch No.1461, time cost : 5.332519292831421, loss is : 1.201726106433723
batch No.1462, time cost : 5.3213512897491455, loss is : 1.0970939406345361
batch No.1463, time cost : 5.3803839683532715, loss is : 1.3266340908088683
batch No.1464, time cost : 5.3452112674713135, loss is : 0.9481919918920007
batch No.1465, time cost : 5.343966960906982, loss is : 0.9793726517438505
batch No.1466, time cost : 5.340552568435669, loss is : 0.8887244377489822
batch No.1467, time cost : 5.348245620727539, loss is : 1.0042992189666182
batch No.1468, time cost : 5.339549779891968, loss is : 0.8988015266560756
batch No.1469, time cost : 5.348390817642212, loss is : 0.8092390980778226
batch No.1470, time cost : 5.343420743942261, loss is : 0.8721439959093803
batch No.1471, time cost : 5.333215236663818, loss is : 1.0243696392548691
batch No.1472, time cost : 5.37854790687561, loss is : 0.7742418381158378
batch No.1473, time cost : 5.359978437423706, loss is : 1.1896760566365236
batch No.1474, time cost : 5.326670408248901, loss is : 1.1314123425269833
batch No.1475, time cost : 5.381062984466553, loss is : 1.0235964251746368
batch No.1476, time cost : 5.372827529907227, loss is : 0.8200204734758165
batch No.1477, time cost : 5.346336603164673, loss is : 0.8912195937776902
batch No.1478, time cost : 5.348476409912109, loss is : 0.8070849509055429
batch No.1479, time cost : 5.34382700920105, loss is : 0.9687375857751722
batch No.1480, time cost : 5.391826391220093, loss is : 0.8961586066586329
batch No.1481, time cost : 5.425597429275513, loss is : 0.7092757780807039
batch No.1482, time cost : 5.327057600021362, loss is : 1.0997243050770646
batch No.1483, time cost : 5.3580803871154785, loss is : 1.1057466496933763
batch No.1484, time cost : 5.330235958099365, loss is : 1.09860533865073
batch No.1485, time cost : 5.338148832321167, loss is : 4.366696236435576
batch No.1486, time cost : 5.38996958732605, loss is : 3.4396958883526425
batch No.1487, time cost : 5.358060121536255, loss is : 3.2480265304095237
batch No.1488, time cost : 5.38324761390686, loss is : 3.3785142775485
batch No.1489, time cost : 5.346136808395386, loss is : 2.1303765985583074
batch No.1490, time cost : 5.3762733936309814, loss is : 2.6415697516751195
batch No.1491, time cost : 5.3746113777160645, loss is : 1.9287507386748521
batch No.1492, time cost : 5.365403413772583, loss is : 1.914943489954181
batch No.1493, time cost : 5.358020544052124, loss is : 1.7950916349632502
batch No.1494, time cost : 5.358422517776489, loss is : 1.9271246857354591
batch No.1495, time cost : 5.388575553894043, loss is : 2.2720273055182574
batch No.1496, time cost : 5.39307427406311, loss is : 1.6415091832370483
batch No.1497, time cost : 5.387270927429199, loss is : 1.9465616754088244
batch No.1498, time cost : 5.410830736160278, loss is : 1.4471121411570895
batch No.1499, time cost : 5.373884916305542, loss is : 1.4639081961307792
batch No.1500, time cost : 5.348072052001953, loss is : 1.319283424217765
batch No.1501, time cost : 5.358999013900757, loss is : 1.535410953570832
batch No.1502, time cost : 5.384578704833984, loss is : 1.291672335934213
batch No.1503, time cost : 5.347191333770752, loss is : 1.5740125796900293
batch No.1504, time cost : 5.374982833862305, loss is : 1.5154205224317963
batch No.1505, time cost : 5.361963272094727, loss is : 1.4015264250713784
batch No.1506, time cost : 5.354101181030273, loss is : 1.20395219406434
batch No.1507, time cost : 5.390401601791382, loss is : 1.6899541067894486
batch No.1508, time cost : 5.373830318450928, loss is : 1.7382870357615796
batch No.1509, time cost : 5.390232086181641, loss is : 1.4810934049528952
batch No.1510, time cost : 5.33216118812561, loss is : 1.466169902796832
batch No.1511, time cost : 5.3676934242248535, loss is : 1.3888008581453568
batch No.1512, time cost : 5.390525817871094, loss is : 1.3929058918908144
batch No.1513, time cost : 5.328655004501343, loss is : 1.1780170532117789
batch No.1514, time cost : 5.378716230392456, loss is : 1.2217066685198528
batch No.1515, time cost : 5.349496841430664, loss is : 1.1213314140515511
batch No.1516, time cost : 5.369508981704712, loss is : 1.5193452900240865
batch No.1517, time cost : 5.378916263580322, loss is : 1.4104571172147962
batch No.1518, time cost : 5.336423873901367, loss is : 1.4291713607545948
batch No.1519, time cost : 5.394069194793701, loss is : 1.3843838946914875
batch No.1520, time cost : 5.345972061157227, loss is : 1.203675152892125
batch No.1521, time cost : 5.396618843078613, loss is : 1.2392794744922937
batch No.1522, time cost : 5.327359676361084, loss is : 1.491256277903878
batch No.1523, time cost : 5.3610663414001465, loss is : 1.1409665260740718
batch No.1524, time cost : 5.370965957641602, loss is : 1.3136315549983242
batch No.1525, time cost : 5.341715097427368, loss is : 1.2888086710438675
batch No.1526, time cost : 5.352739572525024, loss is : 1.2168991932658606
batch No.1527, time cost : 5.349205017089844, loss is : 1.162731160377637
batch No.1528, time cost : 5.377288818359375, loss is : 1.306365185831354
batch No.1529, time cost : 5.35339879989624, loss is : 1.1825736687278572
batch No.1530, time cost : 5.33749794960022, loss is : 1.072382255876156
batch No.1531, time cost : 5.362804889678955, loss is : 1.9376316352076774
batch No.1532, time cost : 5.328110694885254, loss is : 1.6626097848110328
batch No.1533, time cost : 5.318814754486084, loss is : 1.2473190202940774
batch No.1534, time cost : 5.3679115772247314, loss is : 1.2458958320437445
batch No.1535, time cost : 5.3662121295928955, loss is : 1.6060866926624082
batch No.1536, time cost : 5.3559815883636475, loss is : 1.0201903830316326
batch No.1537, time cost : 5.347788333892822, loss is : 1.381494726261923
batch No.1538, time cost : 5.368879318237305, loss is : 1.3079701173077294
batch No.1539, time cost : 5.352881193161011, loss is : 1.6074638773525538
batch No.1540, time cost : 5.35349440574646, loss is : 1.329793747092558
batch No.1541, time cost : 5.393186330795288, loss is : 1.3023704794372786
batch No.1542, time cost : 5.3562281131744385, loss is : 1.5239145952332458
batch No.1543, time cost : 5.389501571655273, loss is : 1.3542826059352073
batch No.1544, time cost : 5.355403661727905, loss is : 1.6446134621972002
batch No.1545, time cost : 5.318653583526611, loss is : 1.386329735189547
batch No.1546, time cost : 5.346896409988403, loss is : 1.344534528035864
batch No.1547, time cost : 5.3697733879089355, loss is : 1.562067767062097
batch No.1548, time cost : 5.397584438323975, loss is : 1.383899113133154
batch No.1549, time cost : 5.383985996246338, loss is : 0.9288491508255657
batch No.1550, time cost : 5.368043422698975, loss is : 0.9646367721151972
batch No.1551, time cost : 5.349771976470947, loss is : 1.4769262284081621
batch No.1552, time cost : 5.388833999633789, loss is : 1.468322876412373
batch No.1553, time cost : 5.379854440689087, loss is : 1.6468121920117986
batch No.1554, time cost : 5.380490779876709, loss is : 1.2688767575470568
batch No.1555, time cost : 5.386861324310303, loss is : 1.3610576199306075
batch No.1556, time cost : 5.331852436065674, loss is : 1.1408675772316013
batch No.1557, time cost : 5.335562229156494, loss is : 1.4471478488157898
batch No.1558, time cost : 5.37333083152771, loss is : 1.4182679196106598
batch No.1559, time cost : 5.377596139907837, loss is : 1.0030981687153426
batch No.1560, time cost : 5.327246189117432, loss is : 1.2475498063151735
batch No.1561, time cost : 5.315070390701294, loss is : 1.1061564952637053
batch No.1562, time cost : 5.370038747787476, loss is : 1.2637056469791523
batch No.1563, time cost : 5.384444952011108, loss is : 1.0458387834545682
batch No.1564, time cost : 5.346131801605225, loss is : 1.4835236553385431
batch No.1565, time cost : 5.389323949813843, loss is : 1.2199802764029215
batch No.1566, time cost : 5.388720512390137, loss is : 1.3913676555307886
batch No.1567, time cost : 5.342755556106567, loss is : 1.0717771137324754
batch No.1568, time cost : 5.37236475944519, loss is : 1.5720224678194539
batch No.1569, time cost : 5.331651449203491, loss is : 1.1151902059913203
batch No.1570, time cost : 5.3528053760528564, loss is : 1.3319474795923236
batch No.1571, time cost : 5.35931921005249, loss is : 1.1911371814191787
batch No.1572, time cost : 5.381264686584473, loss is : 0.9736903658418434
batch No.1573, time cost : 5.467252016067505, loss is : 0.9879130869040299
batch No.1574, time cost : 5.3747735023498535, loss is : 0.9856620642842868
batch No.1575, time cost : 5.409281492233276, loss is : 1.1634510912622449
batch No.1576, time cost : 5.362207412719727, loss is : 0.9366668456908824
batch No.1577, time cost : 5.348766326904297, loss is : 0.8918879560199726
batch No.1578, time cost : 5.360387563705444, loss is : 0.9972418569898595
batch No.1579, time cost : 5.433432102203369, loss is : 1.3795743083197105
batch No.1580, time cost : 5.401034593582153, loss is : 1.1762989829517783
batch No.1581, time cost : 5.353955268859863, loss is : 1.522913808132273
batch No.1582, time cost : 5.350874662399292, loss is : 1.6191743010751374
batch No.1583, time cost : 5.361738204956055, loss is : 1.3715726256711709
batch No.1584, time cost : 5.406627416610718, loss is : 0.959883483597239
batch No.1585, time cost : 5.383509159088135, loss is : 0.9371513724424967
batch No.1586, time cost : 5.3518805503845215, loss is : 0.9213456558669847
batch No.1587, time cost : 5.358513593673706, loss is : 1.1195156083736242
batch No.1588, time cost : 5.396559000015259, loss is : 0.9308880530655561
batch No.1589, time cost : 5.35647439956665, loss is : 1.1656861156411717
batch No.1590, time cost : 5.416002988815308, loss is : 1.1123007642307696
batch No.1591, time cost : 5.347442626953125, loss is : 1.1206412550168525
batch No.1592, time cost : 5.378716707229614, loss is : 1.123295662897511
batch No.1593, time cost : 5.356230974197388, loss is : 1.3843318774157547
batch No.1594, time cost : 5.359487056732178, loss is : 1.1075192351356573
batch No.1595, time cost : 5.37751317024231, loss is : 0.9965027223481846
batch No.1596, time cost : 5.362449645996094, loss is : 0.8745615013964816
batch No.1597, time cost : 5.330474615097046, loss is : 0.9837479292319777
batch No.1598, time cost : 5.365264415740967, loss is : 1.055789386972915
batch No.1599, time cost : 5.35725736618042, loss is : 1.116195521972607
batch No.1600, time cost : 5.389309406280518, loss is : 1.0289327316271897
batch No.1601, time cost : 5.35887336730957, loss is : 1.0581407005158503
batch No.1602, time cost : 5.375070095062256, loss is : 1.1131215107092234
batch No.1603, time cost : 5.35338020324707, loss is : 0.9647632707300801
batch No.1604, time cost : 5.365885257720947, loss is : 0.8576441532923935
batch No.1605, time cost : 5.333555698394775, loss is : 0.8335949666728548
batch No.1606, time cost : 5.367951154708862, loss is : 0.9906495997543956
batch No.1607, time cost : 5.383055686950684, loss is : 0.862888730655502
batch No.1608, time cost : 5.396075487136841, loss is : 0.8828380217171723
batch No.1609, time cost : 5.373830795288086, loss is : 1.3123775155997794
batch No.1610, time cost : 5.389153003692627, loss is : 0.9875730942641051
batch No.1611, time cost : 5.396080493927002, loss is : 1.2482521775178075
batch No.1612, time cost : 5.38209342956543, loss is : 0.586941836110384
batch No.1613, time cost : 5.415701150894165, loss is : 0.9668558094918902
batch No.1614, time cost : 5.3681371212005615, loss is : 1.2002059619738592
batch No.1615, time cost : 5.38036036491394, loss is : 0.8765914613067312
batch No.1616, time cost : 5.356848478317261, loss is : 0.9718023002721284
batch No.1617, time cost : 5.326656103134155, loss is : 1.0878649163825589
batch No.1618, time cost : 5.366952180862427, loss is : 1.3689174802425192
batch No.1619, time cost : 5.382253408432007, loss is : 1.1901585698195958
batch No.1620, time cost : 5.373692274093628, loss is : 0.9162680139943509
batch No.1621, time cost : 5.3630993366241455, loss is : 1.098167584260567
batch No.1622, time cost : 5.3406360149383545, loss is : 1.0282021830261263
batch No.1623, time cost : 5.366048336029053, loss is : 1.0221825025665274
batch No.1624, time cost : 5.360353469848633, loss is : 0.976680065153186
batch No.1625, time cost : 5.39184308052063, loss is : 1.0240502827669258
batch No.1626, time cost : 5.399385929107666, loss is : 0.8265167900624018
batch No.1627, time cost : 5.353981971740723, loss is : 0.9888103222505924
batch No.1628, time cost : 5.359441041946411, loss is : 0.9580920240766524
batch No.1629, time cost : 5.339428901672363, loss is : 0.9028034571011039
batch No.1630, time cost : 5.3830766677856445, loss is : 1.126231196541179
batch No.1631, time cost : 5.388592958450317, loss is : 1.0013992585427591
batch No.1632, time cost : 5.393943548202515, loss is : 1.0646637131801673
batch No.1633, time cost : 5.3733110427856445, loss is : 0.7760027188196446
batch No.1634, time cost : 5.397727966308594, loss is : 0.8422014065195836
batch No.1635, time cost : 5.341784477233887, loss is : 1.1681595739012747
batch No.1636, time cost : 5.353496789932251, loss is : 0.9342104403664246
batch No.1637, time cost : 5.359877347946167, loss is : 0.8318255855659962
batch No.1638, time cost : 5.350352764129639, loss is : 1.0209301328150815
batch No.1639, time cost : 5.362507104873657, loss is : 0.9560640327588705
batch No.1640, time cost : 5.361807107925415, loss is : 0.78061168498259
batch No.1641, time cost : 5.3565287590026855, loss is : 1.0120214733778878
batch No.1642, time cost : 5.345309495925903, loss is : 0.8984913268088144
batch No.1643, time cost : 5.362239360809326, loss is : 1.214923214795679
batch No.1644, time cost : 5.338472127914429, loss is : 0.9191481335247087
batch No.1645, time cost : 5.3426923751831055, loss is : 0.9499727022202051
batch No.1646, time cost : 5.336929559707642, loss is : 1.2953557063998566
batch No.1647, time cost : 5.3767359256744385, loss is : 0.8896167011237435
batch No.1648, time cost : 5.367748737335205, loss is : 0.9257712665472104
batch No.1649, time cost : 5.352753162384033, loss is : 0.9948249142686729
batch No.1650, time cost : 5.33924674987793, loss is : 0.8909590592461213
batch No.1651, time cost : 5.344865798950195, loss is : 0.9288965957299906
batch No.1652, time cost : 5.3574817180633545, loss is : 0.7765810689386983
batch No.1653, time cost : 5.356476068496704, loss is : 0.8940435496394301
batch No.1654, time cost : 5.346879720687866, loss is : 0.7263128495375346
batch No.1655, time cost : 5.383214235305786, loss is : 0.9414068823290878
batch No.1656, time cost : 5.348562002182007, loss is : 0.9099949896208728
batch No.1657, time cost : 5.356799602508545, loss is : 1.0082415506613924
batch No.1658, time cost : 5.3665690422058105, loss is : 0.8701256950507059
batch No.1659, time cost : 5.383184432983398, loss is : 0.9069946058786705
batch No.1660, time cost : 5.382241487503052, loss is : 0.9473981307119034
batch No.1661, time cost : 5.350773811340332, loss is : 0.976496365700666
batch No.1662, time cost : 5.361073970794678, loss is : 0.8697246761220561
batch No.1663, time cost : 5.411787509918213, loss is : 0.7029118943991297
batch No.1664, time cost : 5.373718976974487, loss is : 0.9962823246940641
batch No.1665, time cost : 5.371073961257935, loss is : 1.0236736313852905
batch No.1666, time cost : 5.405807971954346, loss is : 1.1634172164402865
batch No.1667, time cost : 5.3558430671691895, loss is : 0.9587120266281552
batch No.1668, time cost : 5.37588095664978, loss is : 0.7165508908428093
batch No.1669, time cost : 5.355661630630493, loss is : 0.705821588361349
batch No.1670, time cost : 5.359548330307007, loss is : 0.9832884223980797
batch No.1671, time cost : 5.368528842926025, loss is : 1.1793431648541826
batch No.1672, time cost : 5.365846872329712, loss is : 1.2473172674162147
batch No.1673, time cost : 5.38275408744812, loss is : 1.0156889932078044
batch No.1674, time cost : 5.350538015365601, loss is : 0.8482368919545005
batch No.1675, time cost : 5.419816017150879, loss is : 0.9263842489500879
batch No.1676, time cost : 5.359283447265625, loss is : 0.9112546441332496
batch No.1677, time cost : 5.387763023376465, loss is : 0.827243354055351
batch No.1678, time cost : 5.33161997795105, loss is : 0.9555658907038023
batch No.1679, time cost : 5.363833904266357, loss is : 0.9228473620947096
batch No.1680, time cost : 5.388325929641724, loss is : 0.7029460080417003
batch No.1681, time cost : 5.340163707733154, loss is : 1.1314482445256766
batch No.1682, time cost : 5.354252815246582, loss is : 0.9209194772928497
batch No.1683, time cost : 5.373126268386841, loss is : 1.1252884076473353
batch No.1684, time cost : 5.365688800811768, loss is : 1.1307442741539497
batch No.1685, time cost : 5.3514931201934814, loss is : 1.383272534040953
batch No.1686, time cost : 5.360551595687866, loss is : 0.988150429384135
batch No.1687, time cost : 5.387984037399292, loss is : 0.9421262974806537
batch No.1688, time cost : 5.370484828948975, loss is : 0.8010319754625059
batch No.1689, time cost : 5.344243764877319, loss is : 0.8511386601364467
batch No.1690, time cost : 5.363373041152954, loss is : 0.9886143454634401
batch No.1691, time cost : 5.358423709869385, loss is : 1.0803281756897471
batch No.1692, time cost : 5.3595240116119385, loss is : 1.2673131350335656
batch No.1693, time cost : 5.3556809425354, loss is : 1.0320703474835868
batch No.1694, time cost : 5.330230712890625, loss is : 1.1493020687980802
batch No.1695, time cost : 5.363664865493774, loss is : 0.9956448906502268
batch No.1696, time cost : 5.326415538787842, loss is : 0.8070925883075037
batch No.1697, time cost : 5.351188659667969, loss is : 1.0930760329867435
batch No.1698, time cost : 5.415499448776245, loss is : 0.9097153686623822
batch No.1699, time cost : 5.42052435874939, loss is : 1.2673327816872704
batch No.1700, time cost : 5.357169151306152, loss is : 0.9908934814495809
batch No.1701, time cost : 5.376711368560791, loss is : 0.8410632727973015
batch No.1702, time cost : 5.36222505569458, loss is : 0.9158043735903127
batch No.1703, time cost : 5.3630616664886475, loss is : 1.197524532179322
batch No.1704, time cost : 5.359891414642334, loss is : 0.7415101810506763
batch No.1705, time cost : 5.371604681015015, loss is : 0.7393471877451829
batch No.1706, time cost : 5.328032732009888, loss is : 0.8273935192379458
batch No.1707, time cost : 5.374936819076538, loss is : 0.7644231275404397
batch No.1708, time cost : 5.376040935516357, loss is : 1.2439356677987852
batch No.1709, time cost : 5.4063897132873535, loss is : 1.0002910368783016
batch No.1710, time cost : 5.361631155014038, loss is : 1.0225712737927197
batch No.1711, time cost : 5.374819040298462, loss is : 0.9227158789033203
batch No.1712, time cost : 5.373395204544067, loss is : 0.8122406081859221
batch No.1713, time cost : 5.389135837554932, loss is : 0.8895802245444967
batch No.1714, time cost : 5.38112211227417, loss is : 0.8817798061156756
batch No.1715, time cost : 5.391565322875977, loss is : 0.9762954988559246
batch No.1716, time cost : 5.3711981773376465, loss is : 0.9980779672025047
batch No.1717, time cost : 5.355984210968018, loss is : 0.9975193411298388
batch No.1718, time cost : 5.346040487289429, loss is : 0.7765788844297543
batch No.1719, time cost : 5.366605520248413, loss is : 0.7885380105621738
batch No.1720, time cost : 5.399936676025391, loss is : 1.02277773393907
batch No.1721, time cost : 5.348531246185303, loss is : 0.8065667702391621
batch No.1722, time cost : 5.370220184326172, loss is : 0.7899357290188029
batch No.1723, time cost : 5.380354166030884, loss is : 0.7388080961552108
batch No.1724, time cost : 5.320849418640137, loss is : 0.8875964240798058
batch No.1725, time cost : 5.384989976882935, loss is : 0.85932055492264
batch No.1726, time cost : 5.342127323150635, loss is : 0.8867939724941722
batch No.1727, time cost : 5.361971139907837, loss is : 0.8043585072813481
batch No.1728, time cost : 5.378522157669067, loss is : 0.6929635297078827
batch No.1729, time cost : 5.364290714263916, loss is : 1.145171942428941
batch No.1730, time cost : 5.3521568775177, loss is : 1.0264613038459733
batch No.1731, time cost : 5.3157875537872314, loss is : 1.0310510875888799
batch No.1732, time cost : 5.322035789489746, loss is : 0.9949083015372435
batch No.1733, time cost : 5.368852853775024, loss is : 0.8004103652799734
batch No.1734, time cost : 5.377948999404907, loss is : 0.8312580092138283
batch No.1735, time cost : 5.381284713745117, loss is : 1.0269284054585235
batch No.1736, time cost : 5.358514070510864, loss is : 1.0379050919120125
batch No.1737, time cost : 5.34175181388855, loss is : 0.6750505934801333
batch No.1738, time cost : 5.342026472091675, loss is : 0.7143170410285122
batch No.1739, time cost : 5.3715386390686035, loss is : 0.6780320363384781
batch No.1740, time cost : 5.3655476570129395, loss is : 0.6222868782533184
batch No.1741, time cost : 5.39699387550354, loss is : 0.654145322073278
batch No.1742, time cost : 5.371215105056763, loss is : 1.0081849993304213
batch No.1743, time cost : 5.352841854095459, loss is : 1.1230318788213556
batch No.1744, time cost : 5.369100093841553, loss is : 1.1119800454812723
batch No.1745, time cost : 5.327122211456299, loss is : 1.3006872128753582
batch No.1746, time cost : 5.341081380844116, loss is : 0.7366100235778363
batch No.1747, time cost : 5.398327112197876, loss is : 0.9265679275406107
batch No.1748, time cost : 5.342538595199585, loss is : 0.8659786902061432
batch No.1749, time cost : 5.320430755615234, loss is : 1.0397756879601618
batch No.1750, time cost : 5.32358717918396, loss is : 0.9335557307197291
batch No.1751, time cost : 5.3589982986450195, loss is : 1.0048284350440042
batch No.1752, time cost : 5.336197853088379, loss is : 0.6976845601930028
batch No.1753, time cost : 5.321855783462524, loss is : 1.2744630043830187
batch No.1754, time cost : 5.358396291732788, loss is : 1.0707915836157187
batch No.1755, time cost : 5.359884738922119, loss is : 0.710392415074456
batch No.1756, time cost : 5.3558337688446045, loss is : 0.7613789388181937
batch No.1757, time cost : 5.342028379440308, loss is : 0.7730080351228947
batch No.1758, time cost : 5.385625600814819, loss is : 0.9593587183507335
batch No.1759, time cost : 5.360177278518677, loss is : 1.054574441836346
batch No.1760, time cost : 5.355431318283081, loss is : 1.218281620295597
batch No.1761, time cost : 5.350163459777832, loss is : 0.8496691916325114
batch No.1762, time cost : 5.311694383621216, loss is : 0.676635789322906
batch No.1763, time cost : 5.3391852378845215, loss is : 1.0265596162582977
batch No.1764, time cost : 5.360882043838501, loss is : 0.8502506473716291
batch No.1765, time cost : 5.373779296875, loss is : 0.794871922480591
batch No.1766, time cost : 5.341683626174927, loss is : 0.7452169940648894
batch No.1767, time cost : 5.358721971511841, loss is : 0.807769121533919
batch No.1768, time cost : 5.365055561065674, loss is : 0.9232303135240154
batch No.1769, time cost : 5.350904703140259, loss is : 0.9496159619412141
batch No.1770, time cost : 5.3862080574035645, loss is : 1.0158821080673064
batch No.1771, time cost : 5.380097389221191, loss is : 0.6696891431017773
batch No.1772, time cost : 5.408079624176025, loss is : 1.1174124917091164
batch No.1773, time cost : 5.3453545570373535, loss is : 0.8513862202880758
batch No.1774, time cost : 5.336976051330566, loss is : 1.0035198020024514
batch No.1775, time cost : 5.3758039474487305, loss is : 0.6593288809675791
batch No.1776, time cost : 5.382083177566528, loss is : 0.9707015085963087
batch No.1777, time cost : 5.34072470664978, loss is : 1.1327285520873156
batch No.1778, time cost : 5.3523108959198, loss is : 0.5605829244375036
batch No.1779, time cost : 5.372088670730591, loss is : 0.7051944016537375
batch No.1780, time cost : 5.361299514770508, loss is : 1.0204995440113107
batch No.1781, time cost : 5.3910911083221436, loss is : 0.7998841610614965
batch No.1782, time cost : 5.322937726974487, loss is : 0.837603876557276
batch No.1783, time cost : 5.352258205413818, loss is : 0.8213575345862503
batch No.1784, time cost : 5.353644847869873, loss is : 0.829148730924665
batch No.1785, time cost : 5.353071451187134, loss is : 0.8834070040009168
batch No.1786, time cost : 5.360082149505615, loss is : 1.2013265701545086
batch No.1787, time cost : 5.374344110488892, loss is : 0.846797283748044
batch No.1788, time cost : 5.3625123500823975, loss is : 0.9935364839460672
batch No.1789, time cost : 5.359635829925537, loss is : 0.929322394370227
batch No.1790, time cost : 5.330123662948608, loss is : 1.1750087411643457
batch No.1791, time cost : 5.344552755355835, loss is : 0.9406761049763706
batch No.1792, time cost : 5.3770973682403564, loss is : 0.7710804031690491
batch No.1793, time cost : 5.347864627838135, loss is : 1.2759616358989292
batch No.1794, time cost : 5.408127546310425, loss is : 1.2499717115056646
batch No.1795, time cost : 5.359180688858032, loss is : 1.0044436248100779
batch No.1796, time cost : 5.340947389602661, loss is : 0.9291651851335434
batch No.1797, time cost : 5.341934442520142, loss is : 1.045030300556997
batch No.1798, time cost : 5.358412981033325, loss is : 0.9243986304215333
batch No.1799, time cost : 5.3638105392456055, loss is : 1.0231515958302686
batch No.1800, time cost : 5.351839542388916, loss is : 1.0956283295919476
batch No.1801, time cost : 5.320296764373779, loss is : 0.8338935635899325
batch No.1802, time cost : 5.3673930168151855, loss is : 0.9353831996470164
batch No.1803, time cost : 5.355216979980469, loss is : 0.9504586914917376
batch No.1804, time cost : 5.356537342071533, loss is : 1.2882476703825718
batch No.1805, time cost : 5.358839988708496, loss is : 0.6517508463887274
batch No.1806, time cost : 5.345474481582642, loss is : 1.1313969398555719
batch No.1807, time cost : 5.370624542236328, loss is : 0.8995973355027936
batch No.1808, time cost : 5.346387624740601, loss is : 1.0737183787269262
batch No.1809, time cost : 5.385306358337402, loss is : 0.6474402818946816
batch No.1810, time cost : 5.325150012969971, loss is : 0.9757043593658802
batch No.1811, time cost : 5.345500707626343, loss is : 1.1820208270147456
batch No.1812, time cost : 5.356821060180664, loss is : 1.3532754014605162
batch No.1813, time cost : 5.3514885902404785, loss is : 1.1436533317654547
batch No.1814, time cost : 5.351471424102783, loss is : 1.2552053138718682
batch No.1815, time cost : 5.3573853969573975, loss is : 0.8645311239657167
batch No.1816, time cost : 5.335323810577393, loss is : 0.8890891170674413
batch No.1817, time cost : 5.348712921142578, loss is : 1.0073832591371605
batch No.1818, time cost : 5.357889413833618, loss is : 0.8565463507466751
batch No.1819, time cost : 5.358783483505249, loss is : 0.9687232063767717
batch No.1820, time cost : 5.321439981460571, loss is : 1.0656167897714175
batch No.1821, time cost : 5.331516265869141, loss is : 1.1383478290159983
batch No.1822, time cost : 5.321102619171143, loss is : 0.9958855095169659
batch No.1823, time cost : 5.375467538833618, loss is : 1.2757593375270355
batch No.1824, time cost : 5.344738721847534, loss is : 0.9544894588401263
batch No.1825, time cost : 5.341520071029663, loss is : 1.0782966890241603
batch No.1826, time cost : 5.322956800460815, loss is : 1.1245025042330161
batch No.1827, time cost : 5.370416879653931, loss is : 0.9242044505035535
batch No.1828, time cost : 5.3496105670928955, loss is : 0.7207121315668127
batch No.1829, time cost : 5.344736099243164, loss is : 1.1214804285590594
batch No.1830, time cost : 5.36928129196167, loss is : 0.8802616267565766
batch No.1831, time cost : 5.329076290130615, loss is : 0.878294160293789
batch No.1832, time cost : 5.352286338806152, loss is : 0.6707278633292544
batch No.1833, time cost : 5.355068683624268, loss is : 1.1154489615386252
batch No.1834, time cost : 5.323486089706421, loss is : 0.9252916276375439
batch No.1835, time cost : 5.3760340213775635, loss is : 0.8743961623140213
batch No.1836, time cost : 5.347215414047241, loss is : 1.2302476594532539
batch No.1837, time cost : 5.369532823562622, loss is : 0.8631364569562118
batch No.1838, time cost : 5.351829290390015, loss is : 0.6390915145222721
batch No.1839, time cost : 5.317174911499023, loss is : 0.6605927043953341
batch No.1840, time cost : 5.332179069519043, loss is : 0.7926703530947781
batch No.1841, time cost : 5.356240749359131, loss is : 0.882005454587012
batch No.1842, time cost : 5.395740985870361, loss is : 0.5808578752567373
batch No.1843, time cost : 5.398969888687134, loss is : 0.9943162341642457
batch No.1844, time cost : 5.34005331993103, loss is : 1.0172790259264812
